さしだす,731,731,9279,動詞,自立,*,*,五段・サ行,基本形,さしだす,サシダス,サシダス
さしださ,733,733,9252,動詞,自立,*,*,五段・サ行,未然形,さしだす,サシダサ,サシダサ
さしだそ,732,732,9279,動詞,自立,*,*,五段・サ行,未然ウ接続,さしだす,サシダソ,サシダソ
さしだし,735,735,9267,動詞,自立,*,*,五段・サ行,連用形,さしだす,サシダシ,サシダシ
さしだせ,729,729,9272,動詞,自立,*,*,五段・サ行,仮定形,さしだす,サシダセ,サシダセ
さしだせ,734,734,9272,動詞,自立,*,*,五段・サ行,命令ｅ,さしだす,サシダセ,サシダセ
さしだしゃ,730,730,9279,動詞,自立,*,*,五段・サ行,仮定縮約１,さしだす,サシダシャ,サシダシャ
わりきる,772,772,9278,動詞,自立,*,*,五段・ラ行,基本形,わりきる,ワリキル,ワリキル
わりきら,780,780,9279,動詞,自立,*,*,五段・ラ行,未然形,わりきる,ワリキラ,ワリキラ
わりきん,782,782,9279,動詞,自立,*,*,五段・ラ行,未然特殊,わりきる,ワリキン,ワリキン
わりきろ,778,778,9279,動詞,自立,*,*,五段・ラ行,未然ウ接続,わりきる,ワリキロ,ワリキロ
わりきり,788,788,9279,動詞,自立,*,*,五段・ラ行,連用形,わりきる,ワリキリ,ワリキリ
わりきっ,786,786,9271,動詞,自立,*,*,五段・ラ行,連用タ接続,わりきる,ワリキッ,ワリキッ
わりきれ,768,768,9279,動詞,自立,*,*,五段・ラ行,仮定形,わりきる,ワリキレ,ワリキレ
わりきれ,784,784,9279,動詞,自立,*,*,五段・ラ行,命令ｅ,わりきる,ワリキレ,ワリキレ
わりきりゃ,770,770,9279,動詞,自立,*,*,五段・ラ行,仮定縮約１,わりきる,ワリキリャ,ワリキリャ
わりきん,774,774,9279,動詞,自立,*,*,五段・ラ行,体言接続特殊,わりきる,ワリキン,ワリキン
わりき,776,776,9279,動詞,自立,*,*,五段・ラ行,体言接続特殊２,わりきる,ワリキ,ワリキ
飛び抜ける,619,619,7150,動詞,自立,*,*,一段,基本形,飛び抜ける,トビヌケル,トビヌケル
飛び抜け,622,622,7150,動詞,自立,*,*,一段,未然形,飛び抜ける,トビヌケ,トビヌケ
飛び抜けよ,621,621,7150,動詞,自立,*,*,一段,未然ウ接続,飛び抜ける,トビヌケヨ,トビヌケヨ
飛び抜け,625,625,7150,動詞,自立,*,*,一段,連用形,飛び抜ける,トビヌケ,トビヌケ
飛び抜けれ,617,617,7150,動詞,自立,*,*,一段,仮定形,飛び抜ける,トビヌケレ,トビヌケレ
飛び抜けよ,624,624,7150,動詞,自立,*,*,一段,命令ｙｏ,飛び抜ける,トビヌケヨ,トビヌケヨ
飛び抜けろ,623,623,7150,動詞,自立,*,*,一段,命令ｒｏ,飛び抜ける,トビヌケロ,トビヌケロ
飛び抜けりゃ,618,618,7150,動詞,自立,*,*,一段,仮定縮約１,飛び抜ける,トビヌケリャ,トビヌケリャ
飛び抜けん,620,620,7150,動詞,自立,*,*,一段,体言接続特殊,飛び抜ける,トビヌケン,トビヌケン
書き直せる,619,619,7150,動詞,自立,*,*,一段,基本形,書き直せる,カキナオセル,カキナオセル
書き直せ,622,622,7150,動詞,自立,*,*,一段,未然形,書き直せる,カキナオセ,カキナオセ
書き直せよ,621,621,7150,動詞,自立,*,*,一段,未然ウ接続,書き直せる,カキナオセヨ,カキナオセヨ
書き直せ,625,625,7150,動詞,自立,*,*,一段,連用形,書き直せる,カキナオセ,カキナオセ
書き直せれ,617,617,7150,動詞,自立,*,*,一段,仮定形,書き直せる,カキナオセレ,カキナオセレ
書き直せよ,624,624,7150,動詞,自立,*,*,一段,命令ｙｏ,書き直せる,カキナオセヨ,カキナオセヨ
書き直せろ,623,623,7150,動詞,自立,*,*,一段,命令ｒｏ,書き直せる,カキナオセロ,カキナオセロ
書き直せりゃ,618,618,7150,動詞,自立,*,*,一段,仮定縮約１,書き直せる,カキナオセリャ,カキナオセリャ
書き直せん,620,620,7150,動詞,自立,*,*,一段,体言接続特殊,書き直せる,カキナオセン,カキナオセン
ひしめきあう,817,817,9279,動詞,自立,*,*,五段・ワ行促音便,基本形,ひしめきあう,ヒシメキアウ,ヒシメキアウ
ひしめきあわ,823,823,9279,動詞,自立,*,*,五段・ワ行促音便,未然形,ひしめきあう,ヒシメキアワ,ヒシメキアワ
ひしめきあお,820,820,9279,動詞,自立,*,*,五段・ワ行促音便,未然ウ接続,ひしめきあう,ヒシメキアオ,ヒシメキアオ
ひしめきあい,832,832,9279,動詞,自立,*,*,五段・ワ行促音便,連用形,ひしめきあう,ヒシメキアイ,ヒシメキアイ
ひしめきあっ,829,829,9279,動詞,自立,*,*,五段・ワ行促音便,連用タ接続,ひしめきあう,ヒシメキアッ,ヒシメキアッ
ひしめきあえ,814,814,9279,動詞,自立,*,*,五段・ワ行促音便,仮定形,ひしめきあう,ヒシメキアエ,ヒシメキアエ
ひしめきあえ,826,826,9279,動詞,自立,*,*,五段・ワ行促音便,命令ｅ,ひしめきあう,ヒシメキアエ,ヒシメキアエ
乗り組む,762,762,7150,動詞,自立,*,*,五段・マ行,基本形,乗り組む,ノリクム,ノリクム
乗り組ま,764,764,7150,動詞,自立,*,*,五段・マ行,未然形,乗り組む,ノリクマ,ノリクマ
乗り組も,763,763,7150,動詞,自立,*,*,五段・マ行,未然ウ接続,乗り組む,ノリクモ,ノリクモ
乗り組み,767,767,7150,動詞,自立,*,*,五段・マ行,連用形,乗り組む,ノリクミ,ノリクミ
乗り組ん,766,766,7150,動詞,自立,*,*,五段・マ行,連用タ接続,乗り組む,ノリクン,ノリクン
乗り組め,760,760,7150,動詞,自立,*,*,五段・マ行,仮定形,乗り組む,ノリクメ,ノリクメ
乗り組め,765,765,7150,動詞,自立,*,*,五段・マ行,命令ｅ,乗り組む,ノリクメ,ノリクメ
乗り組みゃ,761,761,7150,動詞,自立,*,*,五段・マ行,仮定縮約１,乗り組む,ノリクミャ,ノリクミャ
引き戻す,731,731,7150,動詞,自立,*,*,五段・サ行,基本形,引き戻す,ヒキモドス,ヒキモドス
引き戻さ,733,733,7148,動詞,自立,*,*,五段・サ行,未然形,引き戻す,ヒキモドサ,ヒキモドサ
引き戻そ,732,732,7150,動詞,自立,*,*,五段・サ行,未然ウ接続,引き戻す,ヒキモドソ,ヒキモドソ
引き戻し,735,735,7150,動詞,自立,*,*,五段・サ行,連用形,引き戻す,ヒキモドシ,ヒキモドシ
引き戻せ,729,729,7150,動詞,自立,*,*,五段・サ行,仮定形,引き戻す,ヒキモドセ,ヒキモドセ
引き戻せ,734,734,7150,動詞,自立,*,*,五段・サ行,命令ｅ,引き戻す,ヒキモドセ,ヒキモドセ
引き戻しゃ,730,730,7150,動詞,自立,*,*,五段・サ行,仮定縮約１,引き戻す,ヒキモドシャ,ヒキモドシャ
持てる,619,619,7184,動詞,自立,*,*,一段,基本形,持てる,モテル,モテル
持て,622,622,7228,動詞,自立,*,*,一段,未然形,持てる,モテ,モテ
持てよ,621,621,7187,動詞,自立,*,*,一段,未然ウ接続,持てる,モテヨ,モテヨ
持て,625,625,7228,動詞,自立,*,*,一段,連用形,持てる,モテ,モテ
持てれ,617,617,7187,動詞,自立,*,*,一段,仮定形,持てる,モテレ,モテレ
持てよ,624,624,7187,動詞,自立,*,*,一段,命令ｙｏ,持てる,モテヨ,モテヨ
持てろ,623,623,7187,動詞,自立,*,*,一段,命令ｒｏ,持てる,モテロ,モテロ
持てりゃ,618,618,7187,動詞,自立,*,*,一段,仮定縮約１,持てる,モテリャ,モテリャ
持てん,620,620,7187,動詞,自立,*,*,一段,体言接続特殊,持てる,モテン,モテン
立あう,817,817,7150,動詞,自立,*,*,五段・ワ行促音便,基本形,立あう,タチアウ,タチアウ
立あわ,823,823,7150,動詞,自立,*,*,五段・ワ行促音便,未然形,立あう,タチアワ,タチアワ
立あお,820,820,7150,動詞,自立,*,*,五段・ワ行促音便,未然ウ接続,立あう,タチアオ,タチアオ
立あい,832,832,7253,動詞,自立,*,*,五段・ワ行促音便,連用形,立あう,タチアイ,タチアイ
立あっ,829,829,7150,動詞,自立,*,*,五段・ワ行促音便,連用タ接続,立あう,タチアッ,タチアッ
立あえ,814,814,7150,動詞,自立,*,*,五段・ワ行促音便,仮定形,立あう,タチアエ,タチアエ
立あえ,826,826,7150,動詞,自立,*,*,五段・ワ行促音便,命令ｅ,立あう,タチアエ,タチアエ
基づく,679,679,7147,動詞,自立,*,*,五段・カ行イ音便,基本形,基づく,モトヅク,モトズク
基づか,683,683,7149,動詞,自立,*,*,五段・カ行イ音便,未然形,基づく,モトヅカ,モトズカ
基づこ,681,681,7149,動詞,自立,*,*,五段・カ行イ音便,未然ウ接続,基づく,モトヅコ,モトズコ
基づき,689,689,7148,動詞,自立,*,*,五段・カ行イ音便,連用形,基づく,モトヅキ,モトズキ
基づい,687,687,7148,動詞,自立,*,*,五段・カ行イ音便,連用タ接続,基づく,モトヅイ,モトズイ
基づけ,675,675,7149,動詞,自立,*,*,五段・カ行イ音便,仮定形,基づく,モトヅケ,モトズケ
基づけ,685,685,7149,動詞,自立,*,*,五段・カ行イ音便,命令ｅ,基づく,モトヅケ,モトズケ
基づきゃ,677,677,7149,動詞,自立,*,*,五段・カ行イ音便,仮定縮約１,基づく,モトヅキャ,モトズキャ
弓引く,679,679,7150,動詞,自立,*,*,五段・カ行イ音便,基本形,弓引く,ユミヒク,ユミヒク
弓引か,683,683,7150,動詞,自立,*,*,五段・カ行イ音便,未然形,弓引く,ユミヒカ,ユミヒカ
弓引こ,681,681,7150,動詞,自立,*,*,五段・カ行イ音便,未然ウ接続,弓引く,ユミヒコ,ユミヒコ
弓引き,689,689,7150,動詞,自立,*,*,五段・カ行イ音便,連用形,弓引く,ユミヒキ,ユミヒキ
弓引い,687,687,7150,動詞,自立,*,*,五段・カ行イ音便,連用タ接続,弓引く,ユミヒイ,ユミヒイ
弓引け,675,675,7150,動詞,自立,*,*,五段・カ行イ音便,仮定形,弓引く,ユミヒケ,ユミヒケ
弓引け,685,685,7150,動詞,自立,*,*,五段・カ行イ音便,命令ｅ,弓引く,ユミヒケ,ユミヒケ
弓引きゃ,677,677,7150,動詞,自立,*,*,五段・カ行イ音便,仮定縮約１,弓引く,ユミヒキャ,ユミヒキャ
ぶち壊す,731,731,9279,動詞,自立,*,*,五段・サ行,基本形,ぶち壊す,ブチコワス,ブチコワス
ぶち壊さ,733,733,9279,動詞,自立,*,*,五段・サ行,未然形,ぶち壊す,ブチコワサ,ブチコワサ
ぶち壊そ,732,732,9279,動詞,自立,*,*,五段・サ行,未然ウ接続,ぶち壊す,ブチコワソ,ブチコワソ
ぶち壊し,735,735,9279,動詞,自立,*,*,五段・サ行,連用形,ぶち壊す,ブチコワシ,ブチコワシ
ぶち壊せ,729,729,9279,動詞,自立,*,*,五段・サ行,仮定形,ぶち壊す,ブチコワセ,ブチコワセ
ぶち壊せ,734,734,9279,動詞,自立,*,*,五段・サ行,命令ｅ,ぶち壊す,ブチコワセ,ブチコワセ
ぶち壊しゃ,730,730,9279,動詞,自立,*,*,五段・サ行,仮定縮約１,ぶち壊す,ブチコワシャ,ブチコワシャ
わきあがる,772,772,9277,動詞,自立,*,*,五段・ラ行,基本形,わきあがる,ワキアガル,ワキアガル
わきあがら,780,780,9277,動詞,自立,*,*,五段・ラ行,未然形,わきあがる,ワキアガラ,ワキアガラ
わきあがん,782,782,9277,動詞,自立,*,*,五段・ラ行,未然特殊,わきあがる,ワキアガン,ワキアガン
わきあがろ,778,778,9277,動詞,自立,*,*,五段・ラ行,未然ウ接続,わきあがる,ワキアガロ,ワキアガロ
わきあがり,788,788,9277,動詞,自立,*,*,五段・ラ行,連用形,わきあがる,ワキアガリ,ワキアガリ
わきあがっ,786,786,9274,動詞,自立,*,*,五段・ラ行,連用タ接続,わきあがる,ワキアガッ,ワキアガッ
わきあがれ,768,768,9277,動詞,自立,*,*,五段・ラ行,仮定形,わきあがる,ワキアガレ,ワキアガレ
わきあがれ,784,784,9277,動詞,自立,*,*,五段・ラ行,命令ｅ,わきあがる,ワキアガレ,ワキアガレ
わきあがりゃ,770,770,9277,動詞,自立,*,*,五段・ラ行,仮定縮約１,わきあがる,ワキアガリャ,ワキアガリャ
わきあがん,774,774,9277,動詞,自立,*,*,五段・ラ行,体言接続特殊,わきあがる,ワキアガン,ワキアガン
わきあが,776,776,9277,動詞,自立,*,*,五段・ラ行,体言接続特殊２,わきあがる,ワキアガ,ワキアガ
語りつぐ,723,723,7149,動詞,自立,*,*,五段・ガ行,基本形,語りつぐ,カタリツグ,カタリツグ
語りつが,725,725,7150,動詞,自立,*,*,五段・ガ行,未然形,語りつぐ,カタリツガ,カタリツガ
語りつご,724,724,7150,動詞,自立,*,*,五段・ガ行,未然ウ接続,語りつぐ,カタリツゴ,カタリツゴ
語りつぎ,728,728,7150,動詞,自立,*,*,五段・ガ行,連用形,語りつぐ,カタリツギ,カタリツギ
語りつい,727,727,7150,動詞,自立,*,*,五段・ガ行,連用タ接続,語りつぐ,カタリツイ,カタリツイ
語りつげ,721,721,7150,動詞,自立,*,*,五段・ガ行,仮定形,語りつぐ,カタリツゲ,カタリツゲ
語りつげ,726,726,7150,動詞,自立,*,*,五段・ガ行,命令ｅ,語りつぐ,カタリツゲ,カタリツゲ
語りつぎゃ,722,722,7150,動詞,自立,*,*,五段・ガ行,仮定縮約１,語りつぐ,カタリツギャ,カタリツギャ
問掛ける,619,619,7144,動詞,自立,*,*,一段,基本形,問掛ける,トイカケル,トイカケル
問掛け,622,622,7114,動詞,自立,*,*,一段,未然形,問掛ける,トイカケ,トイカケ
問掛けよ,621,621,7146,動詞,自立,*,*,一段,未然ウ接続,問掛ける,トイカケヨ,トイカケヨ
問掛け,625,625,7114,動詞,自立,*,*,一段,連用形,問掛ける,トイカケ,トイカケ
問掛けれ,617,617,7150,動詞,自立,*,*,一段,仮定形,問掛ける,トイカケレ,トイカケレ
問掛けよ,624,624,7146,動詞,自立,*,*,一段,命令ｙｏ,問掛ける,トイカケヨ,トイカケヨ
問掛けろ,623,623,7150,動詞,自立,*,*,一段,命令ｒｏ,問掛ける,トイカケロ,トイカケロ
問掛けりゃ,618,618,7150,動詞,自立,*,*,一段,仮定縮約１,問掛ける,トイカケリャ,トイカケリャ
問掛けん,620,620,7150,動詞,自立,*,*,一段,体言接続特殊,問掛ける,トイカケン,トイカケン
狙われる,619,619,8113,動詞,自立,*,*,一段,基本形,狙われる,ネラワレル,ネラワレル
狙われ,622,622,9396,動詞,自立,*,*,一段,未然形,狙われる,ネラワレ,ネラワレ
狙われよ,621,621,8113,動詞,自立,*,*,一段,未然ウ接続,狙われる,ネラワレヨ,ネラワレヨ
狙われ,625,625,9396,動詞,自立,*,*,一段,連用形,狙われる,ネラワレ,ネラワレ
狙われれ,617,617,8113,動詞,自立,*,*,一段,仮定形,狙われる,ネラワレレ,ネラワレレ
狙われよ,624,624,8113,動詞,自立,*,*,一段,命令ｙｏ,狙われる,ネラワレヨ,ネラワレヨ
狙われろ,623,623,8113,動詞,自立,*,*,一段,命令ｒｏ,狙われる,ネラワレロ,ネラワレロ
狙われりゃ,618,618,8113,動詞,自立,*,*,一段,仮定縮約１,狙われる,ネラワレリャ,ネラワレリャ
狙われん,620,620,8113,動詞,自立,*,*,一段,体言接続特殊,狙われる,ネラワレン,ネラワレン
埋めあわす,731,731,7150,動詞,自立,*,*,五段・サ行,基本形,埋めあわす,ウメアワス,ウメアワス
埋めあわさ,733,733,7150,動詞,自立,*,*,五段・サ行,未然形,埋めあわす,ウメアワサ,ウメアワサ
埋めあわそ,732,732,7150,動詞,自立,*,*,五段・サ行,未然ウ接続,埋めあわす,ウメアワソ,ウメアワソ
埋めあわし,735,735,7150,動詞,自立,*,*,五段・サ行,連用形,埋めあわす,ウメアワシ,ウメアワシ
埋めあわせ,729,729,7149,動詞,自立,*,*,五段・サ行,仮定形,埋めあわす,ウメアワセ,ウメアワセ
埋めあわせ,734,734,7149,動詞,自立,*,*,五段・サ行,命令ｅ,埋めあわす,ウメアワセ,ウメアワセ
埋めあわしゃ,730,730,7150,動詞,自立,*,*,五段・サ行,仮定縮約１,埋めあわす,ウメアワシャ,ウメアワシャ
喚ぶ,754,754,7150,動詞,自立,*,*,五段・バ行,基本形,喚ぶ,ヨブ,ヨブ
喚ば,756,756,6790,動詞,自立,*,*,五段・バ行,未然形,喚ぶ,ヨバ,ヨバ
喚ぼ,755,755,7159,動詞,自立,*,*,五段・バ行,未然ウ接続,喚ぶ,ヨボ,ヨボ
喚び,759,759,7336,動詞,自立,*,*,五段・バ行,連用形,喚ぶ,ヨビ,ヨビ
喚ん,758,758,7123,動詞,自立,*,*,五段・バ行,連用タ接続,喚ぶ,ヨン,ヨン
喚べ,752,752,7151,動詞,自立,*,*,五段・バ行,仮定形,喚ぶ,ヨベ,ヨベ
喚べ,757,757,7151,動詞,自立,*,*,五段・バ行,命令ｅ,喚ぶ,ヨベ,ヨベ
喚びゃ,753,753,7150,動詞,自立,*,*,五段・バ行,仮定縮約１,喚ぶ,ヨビャ,ヨビャ
しりぞける,619,619,8991,動詞,自立,*,*,一段,基本形,しりぞける,シリゾケル,シリゾケル
しりぞけ,622,622,8657,動詞,自立,*,*,一段,未然形,しりぞける,シリゾケ,シリゾケ
しりぞけよ,621,621,9279,動詞,自立,*,*,一段,未然ウ接続,しりぞける,シリゾケヨ,シリゾケヨ
しりぞけ,625,625,8657,動詞,自立,*,*,一段,連用形,しりぞける,シリゾケ,シリゾケ
しりぞけれ,617,617,9279,動詞,自立,*,*,一段,仮定形,しりぞける,シリゾケレ,シリゾケレ
しりぞけよ,624,624,9279,動詞,自立,*,*,一段,命令ｙｏ,しりぞける,シリゾケヨ,シリゾケヨ
しりぞけろ,623,623,9279,動詞,自立,*,*,一段,命令ｒｏ,しりぞける,シリゾケロ,シリゾケロ
しりぞけりゃ,618,618,9279,動詞,自立,*,*,一段,仮定縮約１,しりぞける,シリゾケリャ,シリゾケリャ
しりぞけん,620,620,9279,動詞,自立,*,*,一段,体言接続特殊,しりぞける,シリゾケン,シリゾケン
こす,731,731,9169,動詞,自立,*,*,五段・サ行,基本形,こす,コス,コス
こさ,733,733,9219,動詞,自立,*,*,五段・サ行,未然形,こす,コサ,コサ
こそ,732,732,9253,動詞,自立,*,*,五段・サ行,未然ウ接続,こす,コソ,コソ
こし,735,735,8994,動詞,自立,*,*,五段・サ行,連用形,こす,コシ,コシ
こせ,729,729,9074,動詞,自立,*,*,五段・サ行,仮定形,こす,コセ,コセ
こせ,734,734,9074,動詞,自立,*,*,五段・サ行,命令ｅ,こす,コセ,コセ
こしゃ,730,730,9215,動詞,自立,*,*,五段・サ行,仮定縮約１,こす,コシャ,コシャ
大人ぶる,772,772,7150,動詞,自立,*,*,五段・ラ行,基本形,大人ぶる,オトナブル,オトナブル
大人ぶら,780,780,7150,動詞,自立,*,*,五段・ラ行,未然形,大人ぶる,オトナブラ,オトナブラ
大人ぶん,782,782,7150,動詞,自立,*,*,五段・ラ行,未然特殊,大人ぶる,オトナブン,オトナブン
大人ぶろ,778,778,7150,動詞,自立,*,*,五段・ラ行,未然ウ接続,大人ぶる,オトナブロ,オトナブロ
大人ぶり,788,788,7150,動詞,自立,*,*,五段・ラ行,連用形,大人ぶる,オトナブリ,オトナブリ
